task_id,decision_id,task,owner,deadline,status
T00001,D00001,Prepare data quality report,Operations Team,2026-06-18,pending
T00002,D00002,Verify model outputs,Data Engineering Team,2026-07-16,needs_review
T00003,D00003,Prepare release checklist,QA Team,2026-08-06,needs_review
T00004,D00004,Verify model outputs,Data Engineering Team,2026-06-10,completed
T00005,D00005,Prepare data quality report,Platform Team,2026-09-09,pending
T00006,D00006,Complete etl integration,Consulting Team,2026-07-06,needs_review
T00007,D00007,Complete etl integration,Platform Team,2026-03-16,completed
T00008,D00008,Prepare release checklist,Data Engineering Team,2026-02-18,completed
T00009,D00009,Complete dashboard testing,Project Team,2026-05-17,completed
T00010,D00010,Verify model outputs,Data Engineering Team,2026-06-19,needs_review
T00011,D00011,Complete security review,Project Team,2026-07-14,needs_review
T00012,D00012,Prepare data quality report,QA Team,2026-05-18,completed
T00013,D00013,Complete dashboard testing,Migration Team,2026-07-07,completed
T00014,D00014,Prepare release checklist,Project Team,2026-09-05,needs_review
T00015,D00015,Update project documentation,Operations Team,2026-05-09,completed
T00016,D00016,Complete security review,Consulting Team,2026-01-07,completed
T00017,D00017,Complete api integration,Data Engineering Team,2026-06-29,in_progress
T00018,D00018,Verify model outputs,Data Engineering Team,2026-08-24,in_progress
T00019,D00019,Prepare release checklist,Platform Team,2026-09-03,in_progress
T00020,D00020,Verify model outputs,Migration Team,2026-03-20,needs_review
T00021,D00021,Complete api integration,Operations Team,2026-06-22,needs_review
T00022,D00022,Prepare release checklist,Data Engineering Team,2026-05-25,in_progress
T00023,D00023,Validate new metrics,Operations Team,2026-01-17,in_progress
T00024,D00024,Validate new metrics,Operations Team,2026-01-21,in_progress
T00025,D00025,Validate new metrics,Platform Team,2026-06-11,completed
T00026,D00026,Complete security review,Migration Team,2026-06-01,in_progress
T00027,D00027,Complete etl integration,Project Team,2026-02-03,needs_review
T00028,D00028,Validate new metrics,Documentation Team,2026-02-27,needs_review
T00029,D00029,Update project documentation,Project Team,2026-09-07,needs_review
T00030,D00030,Verify model outputs,Platform Team,2026-05-17,in_progress
T00031,D00031,Prepare data quality report,Unknown,Unknown,needs_review
T00032,D00032,Complete api integration,Consulting Team,2026-02-08,pending
T00033,D00033,Update project documentation,Operations Team,2026-08-13,completed
T00034,D00034,Verify model outputs,Data Engineering Team,2026-09-04,in_progress
T00035,D00035,Complete api integration,Project Team,2026-04-06,completed
T00036,D00036,Validate migration results,Data Engineering Team,2026-07-23,pending
T00037,D00037,Validate new metrics,Project Team,2026-09-06,pending
T00038,D00038,Complete api integration,Platform Team,2026-09-23,in_progress
T00039,D00039,Complete etl integration,QA Team,2026-09-07,pending
T00040,D00040,Review client requirements,Data Engineering Team,2026-02-07,in_progress
T00041,D00041,Prepare release checklist,QA Team,2026-06-12,pending
T00042,D00042,Update project documentation,Security Team,2026-09-08,completed
T00043,D00043,Complete security review,QA Team,2026-08-15,in_progress
T00044,D00044,Complete api integration,Consulting Team,2026-05-30,pending
T00045,D00045,Complete etl integration,Migration Team,2026-02-21,needs_review
T00046,D00046,Verify model outputs,Documentation Team,2026-07-05,pending
T00047,D00047,Verify model outputs,Analytics Team,2026-04-05,completed
T00048,D00048,Complete dashboard testing,Operations Team,2026-01-26,in_progress
T00049,D00049,Validate migration results,Analytics Team,2026-03-26,needs_review
T00050,D00050,Validate migration results,Documentation Team,2026-05-20,needs_review
T00051,D00051,Complete api integration,Project Team,2026-07-03,pending
T00052,D00052,Verify model outputs,Analytics Team,2026-03-21,pending
T00053,D00053,Update project documentation,QA Team,2026-02-05,completed
T00054,D00054,Validate new metrics,Documentation Team,2026-08-15,needs_review
T00055,D00055,Complete dashboard testing,Documentation Team,2026-03-25,in_progress
T00056,D00056,Complete dashboard testing,Documentation Team,2026-04-12,in_progress
T00057,D00057,Finalize deployment plan,Platform Team,2026-06-01,in_progress
T00058,D00058,Review client requirements,Migration Team,2026-06-08,needs_review
T00059,D00059,Prepare data quality report,QA Team,2026-09-08,in_progress
